institution_name,OPEID,conference,short_name
Campbell University,291300,CAA,Campbell
College of Charleston,342800,CAA,Charleston
Drexel University,325600,CAA,Drexel
Elon University,292700,CAA,Elon
Hampton University,371400,CAA,Hampton
Hofstra University,273200,CAA,Hofstra
Monmouth University,261600,CAA,Monmouth
North Carolina A & T State University,290500,CAA,North Carolina A&T
Northeastern University,219900,CAA,Northeastern
Stony Brook University,283800,CAA,Stony Brook
Towson University,209900,CAA,Towson
William & Mary,370500,CAA,William & Mary
Florida International University,963500,Conference USA,FIU
Jacksonville State University,102000,Conference USA,Jacksonville State
Kennesaw State University,157700,Conference USA,Kennesaw State
Louisiana Tech University,200800,Conference USA,Louisiana Tech
Middle Tennessee State University,351000,Conference USA,Middle Tennessee
Missouri State University-Springfield,250300,MVC,Missouri State
New Mexico State University-Main Campus,265700,Conference USA,New Mexico State
Sam Houston State University,360600,Conference USA,Sam Houston
The University of Texas at El Paso,366100,Conference USA,UTEP
University of Delaware,143100,CAA,Delaware
Western Kentucky University,200200,Conference USA,WKU
Delaware State University,142800,MEAC,Delaware State
Liberty University,2053000,Conference USA,Liberty
University of Connecticut,141700,Big East,UConn
University of Notre Dame,184000,ACC,Notre Dame
Cleveland State University,303200,Horizon,Cleveland State
Northern Kentucky University,927500,Horizon,Northern Kentucky
Oakland University,230700,Horizon,Oakland
Robert Morris University,335900,Horizon,Robert Morris
University of Detroit Mercy,232300,Horizon,Detroit Mercy
University of Wisconsin-Green Bay,389900,Horizon,Green Bay
University of Wisconsin-Milwaukee,389600,Horizon,Milwaukee
Wright State University-Main Campus,307800,Horizon,Wright State
Youngstown State University,314500,Horizon,Youngstown State
Brown University,340100,Ivy League,Brown
Columbia University in the City of New York,270700,Ivy League,Columbia
Cornell University,271100,Ivy League,Cornell
Dartmouth College,257300,Ivy League,Dartmouth
Harvard University,215500,Ivy League,Harvard
Princeton University,262700,Ivy League,Princeton
University of Pennsylvania,337800,Ivy League,Penn
Yale University,142600,Ivy League,Yale
Canisius University,268100,MAAC,Canisius
Fairfield University,138500,MAAC,Fairfield
Iona University,273700,MAAC,Iona
Manhattan College,275800,MAAC,Manhattan
Marist College,276500,MAAC,Marist
Merrimack College,212000,MAAC,Merrimack
Mount St. Mary's University,208600,MAAC,The Mount
Niagara University,278800,MAAC,Niagara
Quinnipiac University,140200,MAAC,Quinnipiac
Rider University,262800,MAAC,Rider
Sacred Heart University,140300,MAAC,Sacred Heart
