institution_name,OPEID,conference1
South Dakota State University,347100,Summit League
Southeast Missouri State University,250100,OVC
Southeastern Louisiana University,202400,Sun Belt
Southern Illinois University-Carbondale,175800,Big Ten
Southern Illinois University-Edwardsville,175900,OVC
Southern Methodist University,361300,ACC
Southern University and A & M College,202500,SWAC
Southern Utah University,367800,SWAC
St Bonaventure University,281700,Big West
St. John's University-New York,282300,Patriot
Stanford University,130500,ACC
Stephen F Austin State University,362400,SWAC
Stetson University,153100,ASUN
Stonehill College,221700,NEC
Stony Brook University,283800,CAA
Syracuse University,288200,ACC
Tarleton State University,363100,WAC
Temple University,337100,American Athletic
Tennessee State University,352200,SoCon
Tennessee Technological University,352300,SEC
Texas A & M University-College Station,363200,SEC
Texas A & M University-Commerce,356500,Southland
Texas A & M University-Corpus Christi,1116100,Southland
Texas Christian University,363600,Big 12
Texas Southern University,364200,SWAC
Texas State University,361500,Sun Belt
Texas Tech University,364400,Big 12
The University of Alabama,105100,SEC
The University of Montana,253600,Big Sky
The University of Tennessee-Chattanooga,352900,SoCon
The University of Tennessee-Knoxville,353000,SEC
The University of Tennessee-Martin,353100,SEC
The University of Texas Rio Grande Valley,359900,SWAC
The University of Texas at Arlington,365600,SEC
The University of Texas at Austin,365800,SEC
The University of Texas at El Paso,366100,Conference USA
The University of Texas at San Antonio,1011500,SWAC
Towson University,209900,CAA
Troy University,104700,Sun Belt
Tulane University of Louisiana,202900,American Athletic
University at Albany,283500,Big West
University at Buffalo,283700,Mid-American
University of Akron Main Campus,312300,Mid-American
University of Alabama at Birmingham,105200,American Athletic
University of Arizona,108300,Big 12
University of Arkansas,110800,SEC
University of Arkansas at Little Rock,110100,SEC
University of Arkansas at Pine Bluff,108600,SEC
University of California-Berkeley,131200,ACC
University of California-Davis,131300,Patriot
University of California-Irvine,131400,Patriot
University of California-Los Angeles,131500,Big Ten
University of California-Riverside,131600,Patriot
University of California-Santa Barbara,132000,SWAC
University of Central Arkansas,109200,SEC
University of Central Florida,395400,Big 12
University of Cincinnati-Main Campus,312500,Big 12
University of Colorado Boulder,137000,Big 12
University of Connecticut,141700,FBS Independents
University of Dayton,312700,Atlantic 10
University of Delaware,143100,Conference USA
University of Denver,137100,Summit League
University of Detroit Mercy,232300,Horizon
University of Evansville,179500,MVC
University of Florida,153500,SEC
University of Georgia,159800,SEC
University of Hawaii at Manoa,161000,Mountain West
University of Houston,365200,Big 12
University of Idaho,162600,Big Sky
University of Illinois Chicago,177600,Big Ten
University of Illinois Urbana-Champaign,177500,Big Ten
University of Iowa,189200,Big Ten
University of Kansas,194800,Big 12
University of Kentucky,198900,SEC
University of Louisiana at Lafayette,203100,Sun Belt
University of Louisiana at Monroe,202000,Sun Belt
University of Louisville,199900,ACC
University of Maine,205300,America East
University of Maryland Eastern Shore,210600,MEAC
University of Maryland-Baltimore County,210500,America East
University of Maryland-College Park,210300,Big Ten
University of Massachusetts-Amherst,222100,Mid-American
University of Massachusetts-Lowell,216100,America East
University of Memphis,350900,American Athletic
University of Miami,153600,ACC
University of Michigan-Ann Arbor,232500,Big Ten
University of Minnesota-Twin Cities,396900,Big Ten
University of Mississippi,244000,SEC
University of Missouri-Columbia,251600,SEC
University of Missouri-Kansas City,251800,Summit League
University of Nebraska at Omaha,255400,Summit League
University of Nebraska-Lincoln,256500,Big Ten
University of Nevada-Las Vegas,256900,Mountain West
University of Nevada-Reno,256800,Mountain West
University of New Hampshire-Main Campus,258900,America East
University of New Mexico-Main Campus,266300,Mountain West
University of New Orleans,201500,Southland
University of North Alabama,101600,ASUN
University of North Carolina Asheville,290700,ACC
University of North Carolina Wilmington,298400,ACC
University of North Carolina at Chapel Hill,297400,ACC
University of North Carolina at Charlotte,297500,American Athletic
University of North Carolina at Greensboro,297600,ACC
University of North Dakota,300500,Summit League
University of North Florida,984100,SEC
University of North Texas,359400,American Athletic
University of Northern Colorado,134900,Big Sky
University of Northern Iowa,189000,Big Ten
University of Notre Dame,184000,FBS Independents
University of Oklahoma-Norman Campus,318400,SEC
University of Oregon,322300,Big Ten
University of Pennsylvania,337800,Ivy League
University of Pittsburgh-Pittsburgh Campus,337900,ACC
University of Portland,322400,WCC
University of Rhode Island,341400,Atlantic 10
University of Richmond,374400,Atlantic 10
University of San Diego,1039500,WCC
University of San Francisco,132500,WCC
University of South Alabama,105700,Sun Belt
University of South Carolina-Columbia,344800,SEC
University of South Carolina-Upstate,695100,SEC
University of South Dakota,347400,Summit League
University of South Florida,153700,American Athletic
University of Southern California,132800,Big Ten
University of Southern Mississippi,244100,Sun Belt
University of St Thomas,234500,Big West
University of Toledo,313100,Mid-American
University of Tulsa,318500,American Athletic
University of Utah,367500,Big 12
University of Vermont,369600,America East
University of Virginia-Main Campus,374500,ACC
University of Washington-Seattle Campus,379800,Big Ten
University of Wisconsin-Green Bay,389900,Horizon
University of Wisconsin-Madison,389500,Big Ten
University of Wisconsin-Milwaukee,389600,Horizon
University of Wyoming,393200,Mountain West
University of the Incarnate Word,357800,Southland
University of the Pacific,132900,WCC
Utah State University,367700,Mountain West
Utah Tech University,367100,WAC
Utah Valley University,402700,WAC
Valparaiso University,184200,MVC
Vanderbilt University,353500,SEC
Villanova University,338800,Big East
Virginia Commonwealth University,373500,Atlantic 10
Virginia Military Institute,375300,SoCon
Virginia Polytechnic Institute and State University,375400,ACC
Wagner College,289900,NEC
Wake Forest University,297800,ACC
Washington State University,380000,Pac-12
Weber State University,368000,Big Sky
West Virginia University,382700,Big 12
Western Carolina University,298100,SoCon
Western Illinois University,178000,Big Ten
Western Kentucky University,200200,Conference USA
Western Michigan University,233000,Mid-American
Wichita State University,195000,American
William & Mary,370500,CAA
Winthrop University,345600,Big South
Wofford College,345700,SoCon
Wright State University-Main Campus,307800,Horizon
Xavier University,314400,Big East
Yale University,142600,Ivy League
Youngstown State University,314500,Horizon
