logo_filename,school,conference,conference_short,official_name,city,state,best_match_name,score,OPEID
58.png,South Florida,American Athletic,AAC,University of South Florida,Tampa,FL,University of South Florida,100,153700
218.png,Temple,American Athletic,AAC,Temple University,Philadelphia,PA,Temple University,100,337100
202.png,Tulsa,American Athletic,AAC,University of Tulsa,Tulsa,OK,University of Tulsa,100,318500
5.png,UAB,American Athletic,AAC,University of Alabama at Birmingham,Birmingham,AL,University of Alabama at Birmingham,100,105200
2636.png,UTSA,American Athletic,AAC,The University of Texas at San Antonio,San Antonio,TX,The University of Texas at San Antonio,100,1011500
252.png,BYU,Big 12,B12,Brigham Young University,Provo,UT,Brigham Young University,100,367000
239.png,Baylor,Big 12,B12,Baylor University,Waco,TX,Baylor University,100,354500
38.png,Colorado,Big 12,B12,University of Colorado Boulder,Boulder,CO,University of Colorado Boulder,100,137000
248.png,Houston,Big 12,B12,University of Houston,Houston,TX,University of Houston,100,365200
66.png,Iowa State,Big 12,B12,Iowa State University,Ames,IA,Iowa State University,100,186900
2305.png,Kansas,Big 12,B12,University of Kansas,Lawrence,KS,University of Kansas,100,194800
2306.png,Kansas State,Big 12,B12,Kansas State University,Manhattan,KS,Kansas State University,100,192800
2628.png,TCU,Big 12,B12,Texas Christian University,Fort Worth,TX,Texas Christian University,100,363600
2641.png,Texas Tech,Big 12,B12,Texas Tech University,Lubbock,TX,Texas Tech University,100,364400
2116.png,UCF,Big 12,B12,University of Central Florida,Orlando,FL,University of Central Florida,100,395400
277.png,West Virginia,Big 12,B12,West Virginia University,Morgantown,WV,West Virginia University,100,382700
356.png,Illinois,Big Ten,B1G,University of Illinois Urbana-Champaign,Champaign,IL,University of Illinois Urbana-Champaign,100,177500
84.png,Indiana,Big Ten,B1G,Indiana University Bloomington,Bloomington,IN,Indiana University-Bloomington,100,180900
2294.png,Iowa,Big Ten,B1G,University of Iowa,Iowa City,IA,University of Iowa,100,189200
127.png,Michigan State,Big Ten,B1G,Michigan State University,East Lansing,MI,Michigan State University,100,229000
135.png,Minnesota,Big Ten,B1G,University of Minnesota Twin Cities,Minneapolis,MN,University of Minnesota-Twin Cities,100,396900
158.png,Nebraska,Big Ten,B1G,University of Nebraska–Lincoln,Lincoln,NE,University of Nebraska-Lincoln,100,256500
77.png,Northwestern,Big Ten,B1G,Northwestern University,Evanston,IL,Northwestern University,100,173900
